SBD,Toán,Văn,Sử,Địa,Lí,Sinh,Anh,GDCD,Hóa
2015237,8.2,6.75,,,6.25,4,5.2,,7.25,
2015095,8,7.75,,,7.5,6.75,9,,7.25,
2015734,7.8,6,,,4.5,4.25,8.6,,8.25,
2014598,8,6.5,,,7.5,6,7,,6,
2015165,8,6.25,,,7,4.25,7.6,,5.25,
2014811,5.8,5.75,,,6.25,4.25,7,,6,
2014031,6.6,7.5,7,7.5,,,8.2,8.5,,
2014670,7.6,7.75,7.75,7.5,,,5.8,9.25,,
2016088,6.4,3.75,7,7.5,,,5,8.75,,
2014953,6,6.5,,,5.5,6,7.6,,5,
2015379,8.2,3.75,,,7,8,7,,8.5,
2015023,6.4,6.25,,,5,4.25,7.6,,5.25,
2014245,8,6.5,,,7,4.25,5.8,,8.25,
2016229,5.6,5.75,5.75,5.5,,,4,7.5,,
2015665,7.2,6.5,,,6,5.5,6,,5.75,
2014741,6.4,7.25,,,3.5,4.25,4.6,,4.75,
2015450,8.2,6,,,6.5,4.5,4.6,,5.25,
2015947,6.2,7.5,5.25,7.75,,,,8.25,,
2015520,6.6,5.75,,,5,6.25,5,,7.25,
2015806,7.2,4.25,,,4.75,8,7.6,,8.5,
2014316,6.4,5.5,,,7.75,3.25,5.4,,8.25,
2016015,7,7,,,5.5,4.25,6.4,,7.25,
2016159,7.2,7.5,,,7,4.5,6.2,,6.5,
2015096,8,6.5,,,8.5,6.25,4.4,,7.5,
2015590,4.8,4,6.75,6.75,,,4.2,9.25,,
2014529,6.6,6.25,5.25,7.25,,,5,7.75,,
2014882,7.2,5.25,,,6.25,3.75,8.6,,3.75,
2014599,7.2,7.5,,,7.25,3.75,6.8,,4,
2014103,8.4,7.75,,,7,5.25,7.4,,7.25,
2014812,6.4,5.75,3.75,6.5,,,3.8,8,,
2014174,6.8,6,,,6.5,5,4.4,,7.25,
2014457,4.8,6,6.25,8.75,,,2.6,7.5,,
2015874,7.6,4,,,7.75,4,8.2,,6.25,
2015735,6,5.5,,,6.25,5.25,5.8,,8,
2014954,8.4,6,,,7.75,4.25,7.8,,6.5,
2014386,8,6.25,,,8.5,5,5.8,,7,
2015238,4.4,6.5,4.75,6.75,,,4.8,7.75,,
2014671,7.2,6.5,,,4.75,6,9.2,,8.25,
2014032,6.6,7,5.75,7.75,,,7,8.5,,
2016089,4.8,5,6,6,,,6.8,7.25,,
2015166,6.2,5.83,,,6.25,5.25,,,6.75,
2015307,7.6,5.5,,,6,5.5,6.4,,3.5,
2015380,7.2,7.25,,,6.5,5,6.8,,4,
2015024,6.8,5.25,,,6,3.5,4.6,,5.75,
2016230,7.4,7.25,6.5,8.75,,,6.2,8.25,,
2014246,5.6,4.75,6.25,7,,,4.2,7.75,,
2015451,7.6,8,,,7,7,6,,6.75,
2015521,8.2,6,,,4.5,6.75,,,6.25,
2014742,7.6,7.5,,,7.25,5,8.6,,8.25,
2015948,7.2,7,5.75,7.5,,,,8.5,,
2015666,7.4,6.75,6.5,6.75,,,5.6,9.5,,
2015807,8,5.5,,,7,6,8,,7.5,
2014387,7.8,6.75,,,6.75,5.5,8.4,,8.5,
2014883,5.4,5.75,,,7,3.25,7.6,,6.25,
2015875,6.8,5,,,6.75,3.5,6.8,,7,
2015452,8.4,7.75,,,7.75,4.75,8.4,,8,
2014104,7.8,7,,,6,3.25,8,,6.25,
2014175,6.2,6.5,4.75,7.5,,,3.6,7.75,,
2014955,7,6,,,6.75,4.25,5.8,,5.5,
2015097,6.6,5.5,,,6,4.25,4.2,,5.25,
2015308,8.2,6.5,,,8,5.5,6.8,,7,
2015522,9,7,,,6.75,8.5,8.4,,8.5,
2015167,7.4,6.75,,,7.25,3.25,8.2,,3.75,
2014458,6,6,3.75,6.75,,,4.2,7.75,,
2014317,5.6,5,,,4.5,3,5.6,,5.5,
2014813,7,7,,,5.5,4,6.2,,8,
2015736,7.8,7.5,,,7.5,4.25,7.2,,6.75,
2015381,8.2,7.75,,,5.5,8,7.8,,9,
2014600,8.8,7.75,,,8,5.5,6,,8.75,
2016160,8,5.75,,,4.75,5,,,6.75,
2014672,6.8,8.25,,,4.75,5.25,6.4,,5.75,
2014247,3.8,5.5,6.75,5.5,,,3.6,7,,
2015591,7.6,6.5,,,8,5.25,5.2,,7,
2016090,7.6,7.25,,,5.25,5,,,8,
2015239,6.2,5.5,,,4.5,3.25,3,,5.25,
2016016,7.2,7.25,,,5.5,5.25,8.8,,7.25,
2016231,5.6,8,8,7.25,,,,8,,
2015025,7.2,5.5,,,8.5,4.25,8.8,,5.75,
2014033,7,6.25,,,5,3.75,3.8,,5.5,
2014530,7,5.25,,,6,3,5.4,,4.75,
2015667,8,6.33,,,8.5,5.75,9.2,,6.5,
2015949,4.8,5.25,5.25,6.75,,,,6.75,,
2014743,8.6,5.75,,,7.25,5.25,6.4,,8.25,
2015808,8.6,6.75,,,6.75,5.75,9,,7.25,
2014388,8.4,5.75,,,6,5.5,7.4,,7.25,
2016017,7.6,6.5,,,7,5.25,9.4,,5.75,
2014884,7.6,6.75,,,6,7.75,5.4,,7.5,
2014956,7,5.25,,,6.5,5.75,8.6,,6,
2015098,8,7,,,5.75,5.75,7.4,,8,
2014318,6.6,5.25,6,6,,,6.2,6,,
2014248,8,6.5,,,7.25,4.5,6.4,,6.75,
2015240,7.8,7.25,6.25,8,,,6.8,9.75,,
2015737,7.8,7.5,,,6.5,5.75,7.6,,5.25,
2014531,7,6,,,3.75,3.75,5.4,,3.75,
2016091,7.4,5,,,4.75,5.5,6.8,,6,
2015668,7.8,6.75,,,8,5,6.8,,7.5,
2015309,4.6,6.5,,,4,3.5,7.8,,5,
2015592,6.8,7,,,6.75,5.5,6.6,,6,
2015809,7.6,5.75,,,6.25,6.75,7.2,,6.5,
2015523,7.6,8,4.75,5.75,,,8.8,8,,
2014673,8,7,,,6.5,5.25,7.6,,6.75,
2015453,7.2,7,,,6.5,4.25,9.2,,8.25,
2015950,5.8,6.5,5.5,5.5,,,2.6,6.75,,
2016161,5.6,5.25,,,5.25,4.5,7,,6.5,
2014814,7,7.25,6.75,7.75,,,6.2,8.75,,
2015026,6,6.5,7.5,7,,,8.8,8.5,,
2014105,7,6,,,5.5,3.25,5.8,,5.5,
2015168,6.6,6,,,6,4,7.4,,6,
2014744,6,4,6,5.5,,,5.2,7,,
2016232,6.6,6.5,,,5.5,4.75,5.6,,7.25,
2015382,7,4.75,,,5.75,5.25,3.2,,6.5,
2014601,6.4,6.83,,,7.25,5.5,7,,6,
2015876,6.8,6.25,,,7.5,4.75,5.2,,7,
2014176,2.8,4.25,3.5,5,,,2.2,4.5,,
2014459,8,7,,,7.75,5.75,7,,7.75,
2014389,8,5.5,,,6.5,3.75,6.2,,7.25,
2016018,6.4,6.25,,,4.75,3.5,3.6,,5.5,
2014034,7,7.25,6.5,5.75,,,7,7.5,,
2014885,6.2,5,,,4.25,4.5,5.2,,4.5,
2014106,8.2,8,8,7.75,,,8.8,9.5,,
2015099,7.6,7.75,9.5,8.5,,,8.8,9.25,,
2015383,7.8,6.5,,,7.25,6.5,7.6,,8,
2016233,7.4,7.5,,,5.75,4,7.6,,7.25,
2014602,6.2,6.5,6,5.5,,,3,8.75,,
2014957,7,6,,,5.75,4.5,5.8,,5,
2014319,8.4,7,,,8,5.5,8.4,,8.25,
2014249,6.6,6.75,,,6.25,4,6.8,,3,
2014815,6.4,7,7.25,6.25,,,5.4,8.75,,
2014745,8.4,5.75,,,6.5,4.5,7,,9.25,
2015241,6.6,6.25,6,7.75,,,4,9,,
2015951,6.2,6,5.5,5.5,,,,6.5,,
2015877,8.2,6.25,,,5.75,3.75,8,,6,
2015810,8.6,7.25,,,8.25,7.25,8.6,,8.25,
2015169,7.2,5,,,5.75,2.75,6.6,,6.75,
2016162,6,5.75,7.75,7.75,,,7.8,8.25,,
2015669,4.6,5.5,,,3.5,3.5,3,,4.75,
2014460,7.6,6,,,7.25,6.5,5.6,,8.25,
2016092,9,6,,,6.25,9,,,8.5,
2015454,7.8,7.5,6.5,6.5,,,7.4,9.25,,
2015524,8,7,,,4.5,3.75,7.8,,8.25,
2015593,7.8,6,,,7,4.5,7.4,,6,
2015310,7.6,7.25,,,6.5,8,8.6,,8,
2014532,4.8,5.75,,,6.25,4.5,4.8,,6.5,
2015027,8.2,5.75,,,6.5,4.25,8.6,,5.5,
2015738,8.8,8.25,,,8.75,6.75,7.2,,7.75,
2014177,7.8,6,,,6.75,3,5.6,,6.75,
2014674,8,6.92,6.25,7.5,,,9,8,,
2014390,6.6,5.75,,,3.75,2.25,4,,6.25,
2016019,6.2,4,3.5,4.5,,,5.4,5,,
2014035,8.2,6.25,,,6.5,5.25,7.8,,7.75,
2014886,7.8,7.5,8.25,7.25,,,7.6,9,,
2015384,7.8,6.5,7.5,6.25,,,8,9,,
2015100,7.8,6.25,,,7.25,4.5,7.4,,7.75,
2014603,8.4,5.75,,,8.75,5.5,5.8,,8.5,
2014107,7.4,8.25,,,8.5,4.75,8.4,,6.5,
2014958,6.2,6.25,,,6,3.75,5.6,,7,
2014320,6.8,5.75,,,7.5,4,3,,5.75,
2014250,7.8,6.25,,,6.5,2.5,5.6,,8.25,
2016234,6.8,7.25,8.25,7,,,8.2,9.75,,
2014816,6.4,5,,,4.75,3,6,,6.5,
2015952,4.8,6.75,4,6.5,,,3.8,7.5,,
2015670,7.6,6.58,7.75,7.25,,,5.6,9.25,,
2015170,7.6,6.5,,,4.25,5,8.8,,5.5,
2015242,8.2,5.25,,,8.75,4.75,7,,8.25,
2014461,6.6,4.25,,,4.5,2.75,3,,5.5,
2016093,5.8,4.5,,,6.25,4.25,4.8,,6.5,
2016163,7.6,7.75,,,5.5,5.5,6.6,,7.25,
2015878,7,6.25,7,6.5,,,6.2,9,,
2014746,8.6,7.5,,,8.25,8,8.6,,8,
2014533,5.4,6.25,6.25,5.5,,,4.8,9.25,,
2014675,6.2,6.25,7.5,7,,,6,9.25,,
2015739,7.4,5.5,,,6.25,3,7,,6.75,
2015594,6.4,5,4,5.75,,,4.4,8.25,,
2015028,6.4,6.5,,,6,4.75,4.6,,6.5,
2014178,6.4,7.25,,,5,3.75,3.6,,7.5,
2015311,7.8,7,,,5,6.25,7,,6.5,
2015811,8.2,6,,,8.5,5.75,7,,4.25,
2015525,6.8,6.25,,,5.5,3.5,8,,6.5,
2016020,7,6.75,,,6.75,4.75,7.8,,5.75,
2014391,6.8,6.75,6.5,6.25,,,4.8,8,,
2015455,6.6,8,6.25,7.5,,,7.2,10,,
2014036,7.4,7.25,8.25,6,,,7.2,8.5,,
2014887,6.4,6,,,4.5,3.25,4,,6.25,
2014604,4.6,6.75,6.25,8,,,5,7.75,,
2015385,7,7.25,,,6.5,4,4.4,,4.5,
2016235,7.6,7.25,,,7.5,5,,,6.75,
2014251,6.2,6.25,,,5.25,2,6.6,,7.75,
2014321,7.2,6,,,7,4,5.4,,8.75,
2014959,7.8,7,,,6.5,5.25,6.4,,6.75,
2014108,5.4,6.25,3,6,,,4.8,7.25,,
2014817,8.8,5.75,,,8,7.5,8.8,,8.25,
2015101,5,5.5,,,4.5,3.25,5,,3,
2015953,6.8,6,,,7,4,7.6,,6,
2015671,7.8,8,,,5.25,4,7.6,,5,
2015171,6.8,7.25,5,5.5,,,6.8,6.25,,
2015526,7.4,6.42,,,6.25,4.5,8.2,,6.25,
2015029,9,3.5,,,8.5,6.25,9.4,,7.25,
2014462,7,4.5,6,6.25,,,5.8,7.75,,
2015595,6.2,5.75,,,5.5,4.75,3.6,,6,
2015812,7.8,6.5,,,7.75,5,6.8,,5.25,
2015243,6,6.5,,,3.75,5.25,5,,5.25,
2015740,6,6.5,6,6.25,,,7.4,7.25,,
2016021,6.8,5,4.75,7,,,7.6,7.25,,
2014534,7.6,7.75,,,7.5,6,7.6,,8.25,
2014676,8.4,4.5,,,7.25,7.25,7.6,,7.75,
2014179,6.6,4.5,5.75,7.5,,,4.6,8.25,,
2015456,8,8.25,,,7.5,3.5,8,,5.75,
2016164,8,5.75,6,8.5,,,,7.75,,
2015879,8.6,6.25,,,8.25,6.25,8.4,,7.25,
2016094,7.2,4.5,8.25,8,,,,9.25,,
2014747,7,7.25,5.5,7,,,6.6,8.75,,
2014392,6.8,4.5,5,6.75,,,4,7.5,,
2014037,5.6,6.83,,,6.5,2.25,3.2,,5.75,
2015312,5.6,6.5,,,3.75,3.75,4.4,,4.5,
2014888,7.6,8.25,,,5.25,6.5,6,,8.5,
2014322,6.8,6,,,4.25,3.5,4,,6.5,
2014109,7.4,5.75,5,7.75,,,7.4,8,,
2014818,7.6,5.5,,,6.25,4.25,5.6,,6.25,
2015672,7.6,8.5,5.5,5.75,,,8,7.75,,
2015954,5.4,4.75,6,6,,,3,6.75,,
2014960,7.8,6.5,,,4.5,5.75,7.2,,6.25,
2016236,5.6,5.5,4.5,4.5,,,3.6,5.25,,
2015386,7.8,7,7.25,8.5,,,5.8,9.25,,
2015102,8.6,5.5,,,5.5,3.25,4.6,,6.5,
2014252,8,7.75,,,6,4.25,5.2,,8,
2014605,5,6,4.5,6.75,,,3.2,7.5,,
2015172,8.8,5.25,,,7.25,2.75,7.4,,5.5,
2016095,7.8,7.5,8.25,7.25,,,3.8,8.25,,
2014463,6.4,4.5,,,6.75,5.25,4.8,,8.25,
2016022,6.6,6.25,2.75,5.25,,,4.8,7.75,,
2016165,6.8,6.5,,,5,4.25,6.6,,6.75,
2015030,7.6,3.25,,,4,4.5,6.8,,7.75,
2014889,8.2,8.5,7.5,7,,,7,8.75,,
2015457,7.6,6.5,7.75,8.25,,,6.6,8.75,,
2015313,8.4,5.5,,,5.5,3.5,5,,7.25,
2014677,5.6,5.75,,,4.5,4.5,5.6,,7.25,
2014748,6.4,6.25,6.25,6,,,6.2,7,,
2015596,8.6,6.75,,,7.25,5,6,,5.5,
2015244,7.4,7.5,,,7.5,4.75,6.8,,5.75,
2014038,7.8,4,,,8,2.5,8,,2.25,
2015880,4.2,5.25,,,3.75,3.75,4.6,,6.75,
2015741,7.4,7,,,7,6,7.6,,7.75,
2015527,7.6,6.5,,,5.25,3.25,4.8,,6.75,
2015813,7.6,6.5,,,5.5,5.25,8,,6,
2014535,7,6,,,6.25,3.25,4.2,,6,
2014393,5.8,5.25,6.25,7.5,,,4.8,8,,
2014180,6.2,5.5,7.5,6.75,,,3.4,8.25,,
2014961,6,7,9.25,7.75,,,6.8,9.75,,
2015387,7.4,6.75,,,7.25,6.25,7.4,,8.5,
2016237,7.2,5.5,,,7,4.75,7.6,,7,
2014110,5.8,6.25,6,7,,,7.4,6.25,,
2015955,5.8,4.5,5.5,5.75,,,4.8,7.75,,
2015103,5.6,5,5.75,7,,,5.8,7.5,,
2014819,7.2,6.5,,,7.75,7,4.6,,7.5,
2014606,6.8,6.25,6.25,7.75,,,6,8.5,,
2014323,7.2,6.5,6,6,,,6.6,7.75,,
2014253,5.4,5.25,6,5.75,,,3.4,8,,
2015673,8,8,,,8,5.25,6.8,,6.75,
2015173,7.4,8,,,5.5,6,7.6,,7.25,
2014464,7.4,5.75,7.5,7.25,,,4.2,7.5,,
2016096,7.2,6,5.75,6,,,,7.75,,
2016023,5.8,5,4.75,7.5,,,5.8,8.5,,
2015881,8.8,8,8,8.25,,,6.2,9.25,,
2014890,8.6,7.5,,,8.25,6.25,8.6,,8.25,
2015458,8,7.5,,,8.25,5.25,8.6,,8.25,
2014536,7.2,6,,,5.75,3.25,3.6,,4.25,
2015956,5.6,5.25,7.5,6.5,,,5.6,8.25,,
2015314,7.4,5.75,,,5.75,4.25,6.8,,3.25,
2014039,7.2,7.25,,,7.25,3.75,8,,4.25,
2015245,6.2,7.75,7.25,7.25,,,8.6,9.75,,
2015031,8.4,7.5,,,7.5,4.75,8.6,,5.5,
2014962,8.2,7.5,,,6.5,7.5,8.4,,7.5,
2014749,7,6.5,7.5,7,,,7,9.75,,
2015597,8.8,7.5,,,6,5,7.6,,6,
2014394,5,6,6.5,6.75,,,6.2,8,,
2016166,6.6,3.25,4.5,4.5,,,3.4,6.75,,
2016238,7.4,5.25,,,7,3.25,7.8,,5.25,
2015742,8.2,6,,,7.25,7.5,5.4,,4.75,
2015528,7.8,7,,,6.75,5.5,7,,7.5,
2014820,7.2,6.75,,,6,6,7.8,,7.5,
2014181,6.6,5.75,,,4.25,5,5.8,,6.5,
2015674,7.2,6.25,4.5,6.5,,,7.6,6.75,,
2015388,3.6,5.5,6.25,6.5,,,7.4,8.25,,
2014678,9,6.25,,,8.25,5.5,4,,7.25,
2015814,8.6,7,,,8.5,6.5,6,,8.5,
2014607,7,6.75,6,5.25,,,6,8.5,,
2015104,7.4,5.75,,,7.25,6,8.6,,5.75,
2014254,6.6,6.5,,,6.75,3.5,5.6,,7,
2015174,9,6.75,,,9,6.75,7.6,,8.75,
2014324,6,6.25,,,6.25,3.25,5.2,,5.75,
2014111,8.2,7.5,,,6.25,4.25,8.2,,6.75,
2016097,8,6.25,,,7.25,7.25,,,7.5,
2016024,6.6,4.25,6.5,4.25,,,3.6,7,,
2014465,6.6,5,,,4.25,2.75,4.2,,8,
2015882,7,5.5,,,7.75,2.5,6.6,,8,
2015459,7.2,5.25,,,4,6,3,,6.5,
2015957,6.6,7.25,,,6.75,4,6.8,,6,
2014821,7.4,7.5,,,5,5.5,7.2,,7.25,
2015529,8.4,5,,,5.5,3,4,,4.25,
2016025,6,5.25,5.75,7.25,,,4.8,7.25,,
2015105,6.2,6,7.5,7,,,4,9,,
2016167,7.6,5.75,7.5,7.75,,,5.6,8.75,,
2014255,5,,5.5,5.25,,,4.4,7.75,,
2015246,7.8,7,,,6.75,7,5.6,,8,
2015175,7.2,5.75,,,4,4.5,5.4,,5.5,
2015815,8.4,5,,,8,4,7,,7.75,
2016098,8,6,6.5,6,,,,7.75,,
2015032,8.4,7.75,,,6.75,7.25,6.6,,8.25,
2014891,8.4,7.25,,,6,7.25,5.8,,7.5,
2014963,7.2,6.5,6,6.5,,,3.6,8,,
2015743,7.8,4.5,,,8.25,4.25,9.2,,7.75,
2015315,7.6,6.75,,,6.5,4.75,6,,8,
2016239,5.4,5,5.75,6.25,,,2.6,7.75,,
2015598,8.6,5.5,7,6.75,,,3.8,8.75,,
2015675,7.2,6,,,6.5,4.25,6.2,,7,
2014466,3.2,4.67,6.5,5.5,,,2.6,5.75,,
2014040,7.2,6,7.5,8.75,,,3,8.5,,
2015389,7,5.5,,,4.75,3.25,3.6,,5.5,
2014325,6.2,6.25,7.5,7.75,,,3.6,8.25,,
2014395,7.4,6.5,,,5.5,4.25,4.2,,5,
2014750,8.6,6.75,6.5,7,,,9,8,,
2014537,6.4,7,6.25,7,,,5.8,7.25,,
2014112,8,7.75,,,6.5,8,8.2,,7.5,
2015883,8.2,5.25,,,8.25,6.5,9,,8.75,
2014679,5.6,6,7,8.5,,,5,8.5,,
2014608,7.6,7.5,,,7,6.25,8.2,,6,
2014182,6.6,5.75,,,3.25,3.75,3.2,,7,
2015460,7.6,7,,,6.25,4,7.6,,6.25,
2015958,7.8,5.75,,,6.75,4.75,5.2,,5,
2014822,7.8,6,,,8.25,5,6,,5.5,
2015676,7.2,5.25,4.5,5.25,,,5.2,9,,
2014396,6.2,5,6.75,7.25,,,5.6,8.25,,
2014041,6.4,5.75,,,6.25,2.75,4.6,,6,
2016168,7.2,6.25,,,7.75,4.25,8.4,,6.25,
2015816,6.2,5.25,,,5.5,6.5,9,,7,
2014964,4.8,5,6.25,6,,,5.8,8.75,,
2014680,7,6.25,,,6.25,4.75,7.2,,6.75,
2015599,7.6,6.75,,,7.75,4.5,5.2,,7.75,
2015390,5.8,2.75,,,4,3.75,5,,4.75,
2014538,6.6,5.75,7,6.25,,,4.8,8,,
2015106,8,5.25,,,6.5,5,6.8,,7,
2015884,5.4,6.25,,,4.25,5,3.4,,4.25,
2016099,7.2,7.5,8.75,8.5,,,6.8,9.25,,
2016240,7,6.5,,,7,3.5,8.6,,6.75,
2014183,7.2,6,,,6,3,3.6,,6,
2015530,7.6,7.5,,,6.75,4.25,8.4,,5.25,
2015316,6.8,6.75,,,7.25,5,9,,5.75,
2014609,6.6,5.75,,,4,4.25,6.8,,6.25,
2014751,7.6,6.5,,,7.25,5.75,5.4,,7,
2014113,8.8,7.25,,,7,7.25,9.4,,8.75,
2014256,6.2,6.25,7.25,6.5,,,8.6,8,,
2015033,7.4,6,,,5.75,6,6.8,,5.25,
2016026,5.6,6,5,5.5,,,4.2,8,,
2015247,6.6,7.75,,,7,4,7.8,,5,
2015176,7.4,5.25,,,6,3.75,6.6,,6,
2014467,8,5.75,,,6.75,7,7,,8.25,
2014892,7.2,5.5,,,5,4.75,7.4,,6.5,
2014326,7.6,4,,,6.25,3.75,6.2,,7.75,
2015461,7.4,7.25,,,6.5,6.25,6.6,,6.5,
2015959,7.4,7,,,8,4.5,4.4,,7.25,
2015744,2.2,1.25,,,2.75,2.5,1.2,,2.25,
2014823,7.8,6.5,,,8.25,4.25,9,,5.5,
2015107,8,6.25,,,7.25,5.75,8.4,,5.25,
2016100,6.6,6,7.5,7.5,,,8.4,9.25,,
2015677,6.6,7.5,6.75,6.25,,,9.2,8,,
2014965,7.4,7,,,6,3,7,,3.75,
2016241,3.8,6,5.75,6.25,,,3.6,7,,
2015817,7.2,5.75,,,6.75,4.5,8.4,,7.5,
2016027,6.6,3.75,,,5.25,5.5,,,6.5,
2015391,8.2,8,,,5.5,4.75,7.6,,6,
2014752,8.6,8,,,7.75,6.25,6.8,,8.5,
2014539,8.2,7.25,,,8.25,6.75,9.8,,8,
2014468,6.8,5,,,6.5,6,3.6,,4.5,
2015248,6.4,7.25,,,6,5.25,5.2,,6.75,
2015034,8.2,7,,,7.75,6,8.6,,8,
2014042,7,6,,,6.75,4.75,5.6,,8,
2014397,5.6,6.25,,,4.75,3.75,5.4,,6,
2015600,7.4,5.75,,,7.25,5.5,7.4,,5.75,
2014681,7.8,5.25,,,6.5,4,7,,6,
2014610,6.8,5.5,,,4.5,6,2,,3.25,
2015317,7,5.75,,,5,5.25,5.8,,5.25,
2014114,6.4,5.5,6.75,6.75,,,7,6.75,,
2014327,6,6,7.5,8,,,5,8.5,,
2015462,7.8,6.75,,,5.75,7.25,8,,8.5,
2014257,7,5.75,,,6.25,5.5,4.2,,5,
2015885,7.6,6.5,8,8.25,,,5.6,9.25,,
2016169,6,5.75,5.75,6.5,,,6.6,8.75,,
2014893,7.4,5.25,,,5.75,4.25,7,,7.5,
2014184,5.6,6,,,5.25,2.25,5,,6.25,
2015745,6.6,5.75,8.5,8.5,,,4.2,9.25,,
2015960,8.8,7.75,,,8.5,8.75,,,8.5,
2015531,6.2,7.25,,,5.5,3,6.6,,4.5,
2015177,8.8,7.5,8.25,8.75,,,9,9.5,,
2014824,6.6,5,,,6.25,4,3.4,,5.75,
2015108,7.2,6.75,5.5,8.25,,,7.2,9.5,,
2016101,6.4,6.75,6.5,6.5,,,4,7,,
2015678,8,6.75,,,7.5,7.5,7.6,,8,
2014966,7.6,7.5,7.5,9,,,8,9.75,,
2015886,7.6,7,,,7.25,7.75,8.8,,8,
2014682,8,6.5,,,6.5,7.5,8.2,,7,
2016242,6.6,6.58,,,6.5,3.25,7.4,,6.25,
2015392,8.2,8,,,5.25,6.25,8.2,,8.75,
2014611,7.6,7.25,,,7.25,7.25,9.4,,6,
2014328,7.4,7.25,,,5.5,4,5.6,,8.25,
2015035,6.6,5.25,,,6.75,4.75,4.8,,6.75,
2014398,8.2,4.25,,,7,3.25,6.8,,7.5,
2014469,6.2,5.75,5.5,5,,,2.4,7.75,,
2015532,8.4,6.5,,,7.25,4.75,8.2,,6.75,
2015818,6.4,6.5,6.25,8,,,8.6,8.5,,
2014185,8.2,6.5,,,7,4.25,8,,7.25,
2014894,8,5,,,7,4.25,7.4,,7.5,
2014753,7.4,7.25,4.5,6,,,7.4,8,,
2015318,8.2,4.75,,,7.75,5.5,7,,5.5,
2015249,8.4,7.25,,,7,4.5,8.6,,7.25,
2014540,8,7,,,5.25,5.5,4.6,,7.75,
2016028,4.8,6.5,8.5,7.25,,,5,7.5,,
2016170,8,5,,,6.5,2,3.2,,5.5,
2015961,7,7,7.25,7,,,6.6,9.25,,
2014825,8,6.25,,,7.5,6.5,7.6,,7.5,
2015178,7.4,5.75,,,5,3.5,4.4,,6,
2014258,7.6,8,,,6.75,6.25,8.6,,6.25,
2014115,7,6.75,,,7.25,3.75,6.6,,4.5,
2015601,7.8,5.75,,,7.75,3.75,8,,7.25,
2015463,8,7,,,5.75,8.75,6.6,,8.5,
2014043,8.2,6.25,7.75,8.25,,,8,8.75,,
2015746,5.6,6.5,7.25,7,,,7.4,8.5,,
2015109,8,6,,,7.5,6.75,8.2,,7.75,
2016102,6.8,6.5,,,6,3.75,4.2,,6.25,
2014967,7.4,6.75,,,5.75,2.75,5.4,,6.75,
2015679,7.6,7,,,7.25,6,8.2,,7.5,
2014683,8,6.25,,,7.5,6.25,7,,5,
2015393,7.8,4.5,,,5.75,3,4,,4.75,
2015887,8.6,6.5,,,6.75,7.25,7.6,,8,
2016243,6.8,5.5,4.25,4.75,,,6,6.75,,
2015533,,,,,,,,,,
2014399,8.2,5.25,,,6.75,7.25,7.2,,7,
2014329,8.2,5.25,,,7.5,5.25,6.6,,8,
2015250,6.2,5.5,,,6,4.25,3.2,,7,
2014612,7.6,8,7.75,7.5,,,5.2,8.75,,
2015036,7,6,7.5,6.5,,,6.2,8.75,,
2014470,8.2,7,,,7.5,5,9,,7.5,
2014541,7.8,7.5,,,5,6,3.4,,7.25,
2015319,7,6.5,,,6.5,4.5,4.4,,6.75,
2014116,8.2,4,,,6.25,5.25,5.8,,8,
2014826,8,6,,,8.25,6.25,8.2,,5,
2015819,7.2,6.5,,,6.75,4.75,6,,8,
2015464,7.4,6,,,6.25,6.75,6.4,,8.5,
2015747,5.6,4.75,5.5,7,,,7,8.5,,
2016103,6.2,5.75,,,4.5,3.5,5.4,,4.75,
2015962,6.6,5.25,3.75,6,,,4.4,8,,
2014186,6,6,5.75,7,,,2.4,6.5,,
2014044,6.8,5.75,8,7.25,,,8.2,8.75,,
2014754,7.8,7,,,6.75,7,8.4,,8,
2016029,7.6,5,,,6.25,5,4,,4.5,
2014259,6,6.5,5.25,6.75,,,4.6,8.25,,
2015179,5.4,5.5,4.75,5.5,,,5.4,8,,
2015110,7.2,4,,,6.75,4.5,5.6,,6,
2015602,6,6.25,,,5.75,4.5,7.8,,7,
2014968,7,6.25,8.25,6.75,,,5.4,9.5,,
2014895,8,3.75,,,7.75,7.25,9,,6.5,
2015680,6.4,6.5,3,5.75,,,4.6,8,,
2016171,6,5.75,6.25,7,,,3.8,8.5,,
2015888,8,5,,,4.75,7.5,6.4,,9.25,
2014684,7.2,5,,,7,5.75,5.2,,6.25,
2015394,6,4.5,,,5.25,4.75,6.6,,6,
2016244,5.6,4.5,1.75,6.25,,,4,5.25,,
2015251,7.8,4.75,,,6.25,6,5.6,,7.5,
2014400,3.6,6,3.5,7.5,,,3.6,7.5,,
2014330,5.2,6.25,6.25,7.5,,,8.2,7.5,,
2015037,8.2,5.5,,,8.25,5.5,7,,7.75,
2015534,8.4,7.5,,,7.25,6,8.8,,7.5,
2014613,7.4,6.5,7,8.25,,,9,8.25,,
2014471,5.4,5.25,,,5.25,4,3.6,,4.75,
2014117,7.4,6.5,,,8.75,4,8,,7.75,
2014260,8.4,6.25,,,7,6.5,8,,8,
2014827,6.2,6.25,,,6.5,4.25,4.2,,5.5,
2015320,4.8,3,,,3.5,3,3,,4,
2014542,5.8,7.5,6,8,,,7.2,9.5,,
2014755,7.2,6.75,5,6,,,7.6,7.5,,
2014045,7.6,4.5,,,6.5,2.25,3,,7.5,
2015603,8.2,7.75,,,7.5,6.75,9.2,,8.5,
